method,dataset_split,all_reports_hit,complete_evidence_recall,evidence_recall,macro_mrr,median_latency_ms,mean_estimated_tokens,status
Single-document Dense,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Dense + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document BM25,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document BM25 + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Hybrid RRF,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Single-document Hybrid RRF + reranker,rbi_mpr_april_2025_dev_v1,,,,,,,completed
Multi-report naive global retrieval,dev,0.16666666666666666,0.1,0.2111111111111111,0.24166666666666667,1052.6096999528818,,completed
Multi-report report-aware retrieval,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.33888888888888885,1817.9881999385543,,completed
Hybrid BM25 + Dense retrieval with RRF,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.33888888888888885,1978.6818000138737,1293.3333333333333,completed
RRF fusion k=10,dev,0.3333333333333333,0.3,0.4444444444444445,0.3416666666666667,4077.973599982215,1289.8333333333333,completed
RRF fusion k=30,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,4602.421200019307,1294.0666666666666,completed
RRF fusion k=60,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,4596.762100001797,1294.0666666666666,completed
RRF fusion k=100,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,4557.0673500187695,1294.0666666666666,completed
Weighted RRF D1/B1 reference,dev,0.3333333333333333,0.3,0.4277777777777778,0.33611111111111114,4493.95309999818,1294.0666666666666,completed
Weighted RRF dense weight 1.5,dev,0.36666666666666664,0.3,0.4388888888888889,0.3333333333333333,5236.61940000602,1290.8,completed
Weighted RRF dense weight 2,dev,0.36666666666666664,0.3,0.4388888888888889,0.3333333333333333,4209.474350034725,1290.8,completed
Weighted RRF BM25 weight 1.5,dev,0.26666666666666666,0.23333333333333334,0.3111111111111111,0.26666666666666666,4146.058949991129,1302.0666666666666,completed
Weighted RRF BM25 weight 2,dev,0.26666666666666666,0.23333333333333334,0.3111111111111111,0.26666666666666666,4550.077449996024,1302.0666666666666,completed
Final local cross-encoder retrieval baseline,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,2947.2414500196464,2150.9333333333334,completed
Local cross-encoder reranking,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,3722.892000019783,2150.9333333333334,completed
Candidate-pool/quota optimised retrieval,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,4855.378049978754,2150.9333333333334,completed
Terminology expansion append,dev,0.36666666666666664,0.3333333333333333,0.4777777777777778,0.3138888888888889,4007.5094499916304,1815.4,completed
Multi-query retrieval / terminology expansion,dev,0.36666666666666664,0.3333333333333333,0.4777777777777778,0.3138888888888889,4152.315749990521,1815.4,completed
Facet decomposition,dev,0.36666666666666664,0.3333333333333333,0.4777777777777778,0.3138888888888889,4267.161900002975,1815.4,completed
Exact-overlap diversity filter,dev,0.4,0.36666666666666664,0.49444444444444446,0.3509259259259259,4285.508250002749,1812.3333333333333,completed
Adjacent expansion boundary,dev,0.3,0.3,0.45555555555555555,0.3025925925925926,3070.171599974856,2465.5666666666666,completed
Adjacent expansion always,dev,0.3,0.26666666666666666,0.41111111111111115,0.2754761904761905,3097.281850001309,2480.3333333333335,completed
Adjacent expansion trend-only,dev,0.36666666666666664,0.3333333333333333,0.46111111111111114,0.3349206349206349,3017.500400019344,2034.7666666666667,completed
Child-parent retrieval same-page parent,dev,0.4,0.2,0.3055555555555555,0.3537037037037037,3400.0309000257403,2189.6666666666665,completed
Child-parent retrieval adjacent-child parent,dev,0.4,0.06666666666666667,0.19444444444444445,0.3537037037037037,3534.3692999740597,1999.8333333333333,completed
Child-parent retrieval page-bounded parent,dev,0.4,0.13333333333333333,0.2611111111111111,0.3537037037037037,2955.548749974696,2191.133333333333,completed
Sentence-window retrieval window 1,dev,0.4,0.06666666666666667,0.10555555555555556,0.3537037037037037,2646.137549978448,265.6666666666667,completed
Sentence-window retrieval window 2,dev,0.4,0.1,0.18333333333333332,0.3537037037037037,2809.8250499751884,430.76666666666665,completed
Chunk-window retrieval neighbour chunks,dev,0.4,0.2,0.3055555555555555,0.3537037037037037,3450.6834499770775,2474.9666666666667,completed
Phase 7 selected final retrieval held-out diagnostic,phase7_heldout_reused_for_old_final_only,0.38461538461538464,0.38461538461538464,0.5512820512820513,0.258974358974359,2495.7724999985658,2134.846153846154,completed_historical_heldout
V2 baseline final retrieval,dev,0.4,0.36666666666666664,0.5055555555555555,0.3537037037037037,2947.2414500196464,2150.9333333333334,completed
V2 Cohere retrieval,dev,0.5,0.4666666666666667,0.6,0.41537037037037033,12906.782750000275,2096.9666666666667,completed
