abstention_correctness,citation_completeness,citation_correctness,comparative_correctness,context_ordering,contextual_recall,contextual_relevancy,eligibility,eligibility_reasons,factual_correctness,faithfulness_to_context,mean_estimated_context_tokens,mean_generation_latency_ms,mean_unique_pages,median_generation_latency_ms,notes,p95_generation_latency_ms,prompt_version,retrieval_all_reports_hit,retrieval_complete_evidence_recall,retrieval_evidence_recall,retrieval_experiment_id,retrieval_macro_mrr,retrieval_median_latency_ms,status,success_rate,temporal_attribution_correctness,variant_id
1.0,1.0,0.8823529411764706,0.3333333333333333,page_order,0.47058823529411764,0.5735294117647058,eligible,[],0.8153331682936946,0.9731204857728691,1797.3823529411766,24277.16173823437,6.882352941176471,25053.172150001046,Reuse existing MMR lambda 0.6 plus sufficiency-gated generation result.,,v2_sufficiency_prompt_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,completed_reused,1.0,0.8823529411764706,GEN_MMR06_SUFFICIENCY_V1
1.0,1.0,0.8823529411764706,0.2777777777777778,default,0.4117647058823529,0.5294117647058824,eligible,[],0.7954456988291574,0.9761655452382324,1998.264705882353,25222.447752941127,6.764705882352941,25694.342349999715,Reuse existing V2 Cohere retrieval plus sufficiency-gated generation result.,,v2_sufficiency_prompt_v1,0.5,0.4666666666666667,0.6,V2_COHERE_ONLY,0.41537037037037033,12906.782750000275,completed_reused,1.0,0.8823529411764706,GEN_V2_COHERE_SUFFICIENCY_V1
1.0,1.0,0.8823529411764706,0.2777777777777778,page_order,0.4411764705882353,0.5588235294117647,eligible,[],0.804133157291052,0.9730314842377801,1807.4117647058824,25554.452814705546,6.705882352941177,28860.67715000172,Generate on frozen MMR lambda 0.7 retrieval contexts.,49851.99979999743,v2_sufficiency_prompt_v1,0.5333333333333333,0.5,0.6333333333333333,MMR_LAMBDA_07,0.41453703703703704,15347.948600001473,completed,1.0,0.8823529411764706,GEN_MMR07_SUFFICIENCY_V1
,,,,page_order,,,not_eligible,"[""status:skipped"", ""success_rate:None"", ""abstention_below_previous_best"", ""citation_not_preserved_without_material_factual_gain"", ""temporal_regression_gt_0.03""]",,,1806.3823529411766,,6.705882352941177,,skipped_after_mmr07_to_keep_final_bakeoff_within_bounded_generation_time_and_cost,,v2_sufficiency_prompt_v1,0.5,0.4666666666666667,0.6,MMR_LAMBDA_08,0.4163888888888889,15412.288250000529,skipped,,,GEN_MMR08_SUFFICIENCY_V1
,,,,chrono_order,,,not_eligible,"[""status:skipped"", ""success_rate:None"", ""abstention_below_previous_best"", ""citation_not_preserved_without_material_factual_gain"", ""temporal_regression_gt_0.03""]",,,,,,,skipped_after_mmr07_to_keep_final_bakeoff_within_bounded_generation_time_and_cost,,v2_sufficiency_prompt_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,skipped,,,GEN_MMR06_CHRONO_ORDER_V1
,,,,rerank_order,,,not_eligible,"[""status:skipped"", ""success_rate:None"", ""abstention_below_previous_best"", ""citation_not_preserved_without_material_factual_gain"", ""temporal_regression_gt_0.03""]",,,,,,,skipped_after_mmr07_to_keep_final_bakeoff_within_bounded_generation_time_and_cost,,v2_sufficiency_prompt_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,skipped,,,GEN_MMR06_RERANK_ORDER_V1
,,,,page_order,,,not_eligible,"[""status:skipped"", ""success_rate:None"", ""abstention_below_previous_best"", ""citation_not_preserved_without_material_factual_gain"", ""temporal_regression_gt_0.03""]",,,,,,,skipped_after_mmr07_to_keep_final_bakeoff_within_bounded_generation_time_and_cost,,evidence_first_prompt_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,skipped,,,GEN_MMR06_EVIDENCE_FIRST_PROMPT_V1
,,,,page_order,,,not_eligible,"[""status:skipped"", ""success_rate:None"", ""abstention_below_previous_best"", ""citation_not_preserved_without_material_factual_gain"", ""temporal_regression_gt_0.03""]",,,,,,,skipped_after_mmr07_to_keep_final_bakeoff_within_bounded_generation_time_and_cost,,comparative_strict_prompt_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,skipped,,,GEN_MMR06_COMPARATIVE_STRICT_PROMPT_V1
1.0,1.0,0.8823529411764706,0.3333333333333333,page_order,0.47058823529411764,0.5735294117647058,eligible,[],0.8153331682936946,0.9731204857728691,1797.3823529411766,0.0,6.882352941176471,0.0,deterministic citation repair actions: 0,0.0,deterministic_citation_repair_v1,0.5666666666666667,0.5333333333333333,0.65,MMR_LAMBDA_06,0.4054629629629629,15426.971299999423,completed_repaired,1.0,0.8823529411764706,GEN_MMR06_CITATION_REPAIR_V1
