all_reports_hit,case_count,complete_evidence_recall,evidence_recall,experiment_id,macro_mrr,query_type
0.5,12,0.5,0.5,CP01,0.34722222222222227,single_report
0.16666666666666666,12,0.08333333333333333,0.3333333333333333,CP01,0.3541666666666667,pairwise_comparison
0.0,6,0.0,0.2222222222222222,CP01,0.19444444444444445,trend_all_reports
,4,,,CP01,0.0,unsupported_period
0.4166666666666667,12,0.4166666666666667,0.4166666666666667,CP02,0.3194444444444445,single_report
0.16666666666666666,12,0.08333333333333333,0.2916666666666667,CP02,0.3125,pairwise_comparison
0.0,6,0.0,0.2222222222222222,CP02,0.2222222222222222,trend_all_reports
,4,,,CP02,0.0,unsupported_period
0.5,12,0.5,0.5,CP03,0.34027777777777773,single_report
0.16666666666666666,12,0.08333333333333333,0.2916666666666667,CP03,0.3055555555555555,pairwise_comparison
0.0,6,0.0,0.2222222222222222,CP03,0.2222222222222222,trend_all_reports
,4,,,CP03,0.0,unsupported_period
0.5,12,0.5,0.5,CP04,0.34027777777777773,single_report
0.16666666666666666,12,0.08333333333333333,0.2916666666666667,CP04,0.3055555555555555,pairwise_comparison
0.0,6,0.0,0.16666666666666666,CP04,0.2222222222222222,trend_all_reports
,4,,,CP04,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,FR01,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,FR01,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.27777777777777773,FR01,0.2222222222222222,trend_all_reports
,4,,,FR01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,FR02,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,FR02,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,FR02,0.2222222222222222,trend_all_reports
,4,,,FR02,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,FR03,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,FR03,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,FR03,0.2222222222222222,trend_all_reports
,4,,,FR03,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,FR04,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,FR04,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,FR04,0.2222222222222222,trend_all_reports
,4,,,FR04,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,QUOTA_EXPANDED,0.3680555555555556,single_report
0.3333333333333333,12,0.25,0.4583333333333333,QUOTA_EXPANDED,0.3819444444444444,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,QUOTA_EXPANDED,0.2546296296296296,trend_all_reports
,4,,,QUOTA_EXPANDED,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,QUOTA_LARGE,0.3680555555555556,single_report
0.3333333333333333,12,0.25,0.4583333333333333,QUOTA_LARGE,0.3819444444444444,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.4444444444444444,QUOTA_LARGE,0.26851851851851855,trend_all_reports
,4,,,QUOTA_LARGE,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,RRF_K10,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,RRF_K10,0.375,pairwise_comparison
0.0,6,0.0,0.2222222222222222,RRF_K10,0.2222222222222222,trend_all_reports
,4,,,RRF_K10,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,RRF_K100,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,RRF_K100,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,RRF_K100,0.2222222222222222,trend_all_reports
,4,,,RRF_K100,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,RRF_K30,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,RRF_K30,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,RRF_K30,0.2222222222222222,trend_all_reports
,4,,,RRF_K30,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,RRF_K60,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,RRF_K60,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,RRF_K60,0.2222222222222222,trend_all_reports
,4,,,RRF_K60,0.0,unsupported_period
0.6666666666666666,12,0.6666666666666666,0.6666666666666666,temporal_baseline,0.4166666666666667,single_report
0.25,12,0.16666666666666666,0.375,temporal_baseline,0.34722222222222227,pairwise_comparison
0.0,6,0.0,0.2222222222222222,temporal_baseline,0.16666666666666666,trend_all_reports
,4,,,temporal_baseline,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,WRRF_D1.5_B1,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,WRRF_D1.5_B1,0.34027777777777773,pairwise_comparison
0.16666666666666666,6,0.0,0.27777777777777773,WRRF_D1.5_B1,0.25,trend_all_reports
,4,,,WRRF_D1.5_B1,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,WRRF_D1_B1,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,WRRF_D1_B1,0.3611111111111111,pairwise_comparison
0.0,6,0.0,0.2222222222222222,WRRF_D1_B1,0.2222222222222222,trend_all_reports
,4,,,WRRF_D1_B1,0.0,unsupported_period
0.5,12,0.5,0.5,WRRF_D1_B1.5,0.3819444444444444,single_report
0.16666666666666666,12,0.08333333333333333,0.25,WRRF_D1_B1.5,0.2569444444444445,pairwise_comparison
0.0,6,0.0,0.05555555555555555,WRRF_D1_B1.5,0.05555555555555555,trend_all_reports
,4,,,WRRF_D1_B1.5,0.0,unsupported_period
0.5,12,0.5,0.5,WRRF_D1_B2,0.3819444444444444,single_report
0.16666666666666666,12,0.08333333333333333,0.25,WRRF_D1_B2,0.2569444444444445,pairwise_comparison
0.0,6,0.0,0.05555555555555555,WRRF_D1_B2,0.05555555555555555,trend_all_reports
,4,,,WRRF_D1_B2,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,WRRF_D2_B1,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.375,WRRF_D2_B1,0.34027777777777773,pairwise_comparison
0.16666666666666666,6,0.0,0.27777777777777773,WRRF_D2_B1,0.25,trend_all_reports
,4,,,WRRF_D2_B1,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,QN01,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,QN01,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,QN01,0.23611111111111108,trend_all_reports
,4,,,QN01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,EXP01,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,EXP01,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,EXP01,0.23611111111111108,trend_all_reports
,4,,,EXP01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,EXP02,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,EXP02,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,EXP02,0.23611111111111108,trend_all_reports
,4,,,EXP02,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,FAC01,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,FAC01,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,FAC01,0.23611111111111108,trend_all_reports
,4,,,FAC01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,BM02,0.3680555555555556,single_report
0.3333333333333333,12,0.25,0.4583333333333333,BM02,0.3819444444444444,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,BM02,0.2546296296296296,trend_all_reports
,4,,,BM02,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,AQ01,0.3680555555555556,single_report
0.3333333333333333,12,0.25,0.4583333333333333,AQ01,0.3819444444444444,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,AQ01,0.2546296296296296,trend_all_reports
,4,,,AQ01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,DIV01,0.3680555555555556,single_report
0.3333333333333333,12,0.25,0.4583333333333333,DIV01,0.3819444444444444,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,DIV01,0.2546296296296296,trend_all_reports
,4,,,DIV01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,COMBINED_01,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,COMBINED_01,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,COMBINED_01,0.23611111111111108,trend_all_reports
,4,,,COMBINED_01,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,COMBINED_02,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,COMBINED_02,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,COMBINED_02,0.23611111111111108,trend_all_reports
,4,,,COMBINED_02,0.0,unsupported_period
0.5833333333333334,12,0.5833333333333334,0.5833333333333334,COMBINED_03,0.3680555555555556,single_report
0.25,12,0.16666666666666666,0.4166666666666667,COMBINED_03,0.2986111111111111,pairwise_comparison
0.16666666666666666,6,0.16666666666666666,0.38888888888888884,COMBINED_03,0.23611111111111108,trend_all_reports
,4,,,COMBINED_03,0.0,unsupported_period
