delta_abstention_correctness,delta_citation_completeness,delta_citation_correctness,delta_comparative_correctness,delta_contextual_recall,delta_contextual_relevancy,delta_factual_correctness,delta_faithfulness_to_context,delta_temporal_attribution_correctness,new_abstained,new_abstention_correctness,new_answered,new_citation_completeness,new_citation_correctness,new_comparative_correctness,new_contextual_recall,new_contextual_relevancy,new_factual_correctness,new_faithfulness_to_context,new_temporal_attribution_correctness,old_abstained,old_abstention_correctness,old_answered,old_citation_completeness,old_citation_correctness,old_comparative_correctness,old_contextual_recall,old_contextual_relevancy,old_factual_correctness,old_faithfulness_to_context,old_temporal_attribution_correctness,query_type,question_id,required_generation_behavior,retrieval_complete_evidence_recall,retrieval_evidence_recall,sufficiency_status
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,single_report,oct_dev_001,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.8571428571428571,0.9333333333333333,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.8571428571428571,0.9333333333333333,1.0,single_report,oct_dev_002,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.21428571428571427,0.043269230769230727,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.42857142857142855,0.8125,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.21428571428571427,0.7692307692307693,1.0,single_report,oct_dev_003,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.25,-0.01764705882352946,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.75,0.8823529411764706,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.5,0.9,1.0,single_report,oct_dev_004,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.0,-0.02285714285714291,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,1.0,0.8571428571428571,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,1.0,0.88,1.0,single_report,oct_dev_005,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.5454545454545454,-0.10526315789473684,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.9090909090909091,0.8947368421052632,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.36363636363636365,1.0,1.0,single_report,oct_dev_006,answer,True,1.0,sufficient
1.0,,0.0,,0.0,0.0,,0.0,0.0,True,1.0,False,,1.0,,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,,0.0,0.0,0.45454545454545453,1.0,1.0,single_report,apr26_dev_001,answer_with_caveat,False,0.0,partially_sufficient
0.0,0.0,0.0,,0.0,0.0,0.10000000000000009,0.0,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.8,1.0,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.7,1.0,1.0,single_report,apr26_dev_002,answer,True,1.0,sufficient
1.0,,0.0,,0.0,0.0,,0.0,0.0,True,1.0,False,,1.0,,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,,0.0,0.0,0.7777777777777778,1.0,1.0,single_report,apr26_dev_003,answer_with_caveat,False,0.0,partially_sufficient
1.0,,0.0,,0.0,0.0,,0.0625,0.0,True,1.0,False,,1.0,,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,,0.0,0.0,0.45454545454545453,0.9375,1.0,single_report,apr26_dev_004,answer_with_caveat,False,0.0,partially_sufficient
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.9090909090909091,1.0,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.9090909090909091,1.0,1.0,single_report,apr26_dev_005,answer,True,1.0,sufficient
0.0,0.0,0.0,,0.0,0.0,0.07692307692307698,0.0,0.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.6153846153846154,1.0,1.0,False,1.0,True,1.0,1.0,,1.0,1.0,0.5384615384615384,1.0,1.0,single_report,apr26_dev_006,answer,True,1.0,sufficient
0.0,0.0,0.0,0.0,0.0,0.0,-0.04999999999999993,0.04183006535947709,0.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.55,0.9529411764705882,1.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.6,0.9111111111111111,1.0,pairwise_comparison,cmp_dev_001,answer,True,1.0,sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.28260869565217395,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.5,0.7333333333333333,0.717391304347826,1.0,pairwise_comparison,cmp_dev_002,answer_with_caveat,False,0.5,partially_sufficient
0.0,0.0,0.0,0.5,0.0,0.0,0.11111111111111105,0.12259615384615385,0.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.96875,1.0,False,1.0,True,1.0,1.0,0.5,1.0,1.0,0.7777777777777778,0.8461538461538461,1.0,pairwise_comparison,cmp_dev_003,answer,True,1.0,sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.032258064516129004,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.5,1.0,0.967741935483871,1.0,pairwise_comparison,cmp_dev_004,answer_with_caveat,False,0.5,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.14583333333333337,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.5,0.5,0.8541666666666666,1.0,pairwise_comparison,cmp_dev_005,answer_with_caveat,False,0.5,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.060975609756097615,0.0,True,1.0,False,,1.0,0.0,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.9390243902439024,1.0,pairwise_comparison,cmp_dev_006,answer_with_caveat,False,0.0,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.2075471698113207,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.5,0.8666666666666667,0.7924528301886793,1.0,pairwise_comparison,cmp_dev_007,answer_with_caveat,False,0.5,partially_sufficient
0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368474,0.01851851851851849,0.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.8947368421052632,0.9629629629629629,1.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.8421052631578947,0.9444444444444444,1.0,pairwise_comparison,cmp_dev_008,answer,True,1.0,sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.05813953488372092,0.0,True,1.0,False,,1.0,0.0,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.8181818181818182,0.9418604651162791,1.0,pairwise_comparison,cmp_dev_009,answer_with_caveat,False,0.0,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.1428571428571429,0.0,True,1.0,False,,1.0,0.0,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.5833333333333334,0.8571428571428571,1.0,pairwise_comparison,cmp_dev_010,answer_with_caveat,False,0.0,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.1063829787234043,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.5,0.6470588235294118,0.8936170212765957,1.0,pairwise_comparison,cmp_dev_011,answer_with_caveat,False,0.5,partially_sufficient
1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,True,1.0,False,,1.0,0.0,0.0,0.5,,1.0,1.0,False,0.0,True,1.0,1.0,0.0,0.0,0.5,0.8666666666666667,1.0,1.0,pairwise_comparison,cmp_dev_012,answer_with_caveat,False,0.5,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.04629629629629628,0.0,True,1.0,False,,1.0,0.0,0.0,0.3333333333333333,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.3333333333333333,0.4827586206896552,0.9537037037037037,1.0,trend_all_reports,trend_dev_001,answer_with_caveat,False,0.3333333333333333,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.18811881188118806,0.0,True,1.0,False,,1.0,0.0,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.5263157894736842,0.8118811881188119,1.0,trend_all_reports,trend_dev_002,answer_with_caveat,False,0.0,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.07462686567164178,0.0,True,1.0,False,,1.0,0.0,0.0,0.6666666666666666,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.6666666666666666,0.7368421052631579,0.9253731343283582,1.0,trend_all_reports,trend_dev_003,answer_with_caveat,False,0.6666666666666666,partially_sufficient
1.0,,0.0,-1.0,0.0,0.0,,0.11702127659574468,0.0,True,1.0,False,,1.0,0.0,0.0,0.0,,1.0,1.0,False,0.0,True,1.0,1.0,1.0,0.0,0.0,0.4666666666666667,0.8829787234042553,1.0,trend_all_reports,trend_dev_004,answer_with_caveat,False,0.0,partially_sufficient
0.0,0.0,0.0,0.0,0.0,0.0,0.050000000000000044,0.006688963210702337,0.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,0.9487179487179487,1.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.95,0.9420289855072463,1.0,trend_all_reports,trend_dev_005,answer,True,1.0,sufficient
0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.1428571428571428,0.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.5333333333333333,0.9761904761904762,1.0,False,1.0,True,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.8333333333333334,1.0,trend_all_reports,trend_dev_006,answer,True,1.0,sufficient
1.0,,0.0,,0.0,0.0,,1.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,False,0.0,True,,0.0,,0.0,0.0,0.0,0.0,0.0,unsupported_period,unsupported_dev_001,abstain,,,insufficient
0.0,,0.0,,0.0,0.0,,0.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,unsupported_period,unsupported_dev_002,abstain,,,insufficient
0.0,,0.0,,0.0,0.0,,0.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,unsupported_period,unsupported_dev_003,abstain,,,insufficient
1.0,,0.0,,0.0,0.0,,1.0,0.0,True,1.0,False,,0.0,,0.0,0.0,,1.0,0.0,False,0.0,True,,0.0,,0.0,0.0,0.0,0.0,0.0,unsupported_period,unsupported_dev_004,abstain,,,insufficient
